Experiment_ID,Architecture,Optimizer,Epochs,Activation,Scheduler,Loss_Function,Noise_Level,Data_Points,weigthed,Execution_Time(s),Final_Total_Loss,Final_Physics_Loss,Final_Data_Loss,Final_BC_Loss,MAE,L2_Error,True_K,Estimated_K,Rel_Error_K
Poisson_Inverse_GELU_N1_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.01,100,False,84.08393025398254,4.4184452900038545e-06,4.063318345775377e-06,1.9867230000567679e-07,1.564546442228006e-07,4.097987843039032,0.008805160329604276,1.0,0.9986428519926425,0.13571480073575337
Poisson_Inverse_GELU_N1_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.01,100,True,84.11601638793945,1.6071764959735195e-06,1.0152016700312745e-06,2.865023732877865e-07,3.054724526544584e-07,3.915676814589785,0.010614758408811731,1.0,1.00653106727356,0.6531067273559898
Poisson_Inverse_GELU_N1_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.01,500,False,84.02947568893433,3.598966612879139e-06,3.024617057336295e-06,3.1097042018068523e-07,2.633791353621588e-07,4.337755196688909,0.010180485657649563,1.0,0.9926196604928093,0.7380339507190747
Poisson_Inverse_GELU_N1_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.01,500,True,84.20967507362366,5.80526227329176e-06,5.0625091928983925e-06,3.386581768357263e-07,4.040949035576413e-07,4.878004009504781,0.01350161110296571,1.0,1.0143498178027657,1.4349817802765674
Poisson_Inverse_GELU_N2_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.02,50,False,83.9052996635437,5.537087608026717e-06,3.906494055729865e-06,1.0529847628063035e-06,5.77608789490548e-07,5.741984392012771,0.015105487728669967,1.0,1.0117388191439267,1.1738819143926715
Poisson_Inverse_GELU_N2_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.02,50,True,84.25407671928406,1.9526335336178243e-06,7.842616632298345e-07,8.926488637754823e-07,2.757230066125076e-07,5.338134250685706,0.011028517200227713,1.0,0.9969160945409479,0.30839054590521275
Poisson_Inverse_GELU_N2_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.02,100,False,90.44453716278076,3.2726977343877023e-06,1.421371059078831e-06,1.1584469416320752e-06,6.92879733676796e-07,7.044565958076523,0.01698551704772906,1.0,0.9903033367844515,0.9696663215548518
Poisson_Inverse_GELU_N2_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.02,100,True,87.23670506477356,3.241097810568796e-06,2.0260087627157593e-06,8.791603115303643e-07,3.3592873632267237e-07,4.8256448719951575,0.014817701824202056,1.0,1.0173076071399132,1.7307607139913195
Poisson_Inverse_GELU_N2_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.02,500,False,84.47951102256775,6.6081875050685135e-06,5.339035271752581e-06,9.500354072154128e-07,3.1911682610051977e-07,5.854403388047885,0.011978064192069522,1.0,0.9925651436722132,0.7434856327786843
Poisson_Inverse_GELU_N2_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.02,500,True,84.6258475780487,2.976705465160829e-06,1.1628092034628223e-06,1.283736455321221e-06,5.301598063767857e-07,4.637799576780136,0.015246666567396748,1.0,0.9848450046177755,1.5154995382224534
Poisson_Inverse_GELU_N5_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.05,50,False,83.70410513877869,1.398451538059342e-05,7.465488229100199e-06,4.967056031084645e-06,1.5519711204085754e-06,10.186720595978862,0.027280344581257006,1.0,0.988828761444486,1.1171238555514051
