% Model,4_roll_mill.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 9 2026, 18:24"
% Dimension,2
% Nodes,20128
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s) @ lambda=0.05,v (m/s) @ lambda=0.05,p (Pa) @ lambda=0.05,vef.Te_1xx (N/m^2) @ lambda=0.05,vef.Te_1xy (N/m^2) @ lambda=0.05,vef.Te_1yy (N/m^2) @ lambda=0.05
-0.014221434716762668,-0.013381748523626197,-0.0047100607353445624,0.0058810408135930555,0.22276354095143439,-2.457925922664069,0.17508905629096236,3.384692295055743
-0.014283165740959293,-0.013542749341943848,-0.004632248113621773,0.005602759602669239,0.19768914922464356,-2.349288254042041,0.10310389956444709,3.1792668328103946
-0.014325477640840157,-0.01324732052370863,-0.004523496008407825,0.006027391449868011,0.2282698055810137,-2.440899374838327,0.35552820103291577,3.3675739022338145
-0.0239589523133965,-0.021760755177185207,-1.0583943525494925E-5,1.4891473612454077E-5,0.06166850749158794,-0.03824607895012223,0.02195391996760312,0.03844711630144131
-0.02447771127870127,-0.021433871073388386,-3.196912765939839E-6,6.034838729499328E-6,0.0880772160737846,-0.022188908167571825,0.019255381152125748,0.022268122776951144
-0.025,-0.02110389610389611,0,0,0.11842649709050351,4.225047044314001E-5,0.007119323176153347,-7.037339670457838E-5
-0.02344400467317777,-0.022085887971690272,-1.973301727353148E-5,2.4098585587494635E-5,0.03758969036022442,-0.050519140607265374,0.017281484915757,0.05081242275803801
-0.013714450532018642,-0.014346209642012657,-0.005324603081448495,0.0045473614718693775,0.14983196158868486,-2.12754080070447,-0.7504297220961434,2.8656176155688704
-0.014030195071042624,-0.01428640956760655,-0.0049078023522961395,0.004612385168562014,0.13975158356568843,-2.0866823517366715,-0.46630177744468243,2.746121574110134
-0.013892172893930493,-0.01440896845543256,-0.005054222105111711,0.00445812117808093,0.1355006712672118,-2.054167495733871,-0.6135414305852994,2.7139017343092315
-0.014219217005996895,-0.0143467800518712,-0.004643459580208059,0.0045057157554169855,0.1262476628186977,-1.9997495410386776,-0.3503827858583061,2.58718267516292
-0.01282239777680006,-0.014446810688365551,-0.006587720537204939,0.0041797853625321,0.19085579518696713,-2.0262346368663633,-1.7375820666592976,3.042911636437695
-0.013408136862792594,-0.01439310930480938,-0.005744170491144645,0.004453058013665904,0.161272960310782,-2.1337084724895115,-1.0591803378833038,2.956901067337787
